Player,Team,MPG,True Usage,Shot Usage,Assist Usage,Turnover Usage,True TO%,Time of Possession%,Shot/Touch %,% Touches Ending Possession
Kevin Durant,OKC,33.8,0.442362780972295,0.283450078410873,0.120230005227392,0.0386826973340303,0.0874456418982794,0.0825958702064897,0.412381169670697,0.468659213628413
Al Horford,ATL,30.5,0.33701447396846,0.221870814430763,0.0935407215381292,0.0216029379995679,0.0641009204892182,0.0460526315789474,0.336999606247539,0.369812311326946
Mike Conley,MEM,31.8,0.449440366972477,0.227422018348624,0.186238532110092,0.0357798165137615,0.0796097083018637,0.213836477987421,0.196738095238095,0.227690476190476
Jeff Green,BOS,33.1,0.322964912280702,0.236122807017544,0.062280701754386,0.0245614035087719,0.0760497582704112,0.0513595166163142,0.396932831969328,0.438221632382216
Jeff Green,MEM,30.3,0.290926976920166,0.209958380628074,0.0612939841089671,0.0196746121831252,0.0676273214378609,0.053156146179402,0.337850837138508,0.369509893455099
Corey Brewer,HOU,25.1,0.309184890656064,0.21375745526839,0.0685884691848907,0.0268389662027833,0.0868055555555556,0.0396825396825397,0.394520547945205,0.444055772994129
Corey Brewer,MIN,28.3,0.330014184397163,0.183914893617021,0.11063829787234,0.0354609929078014,0.107452935614201,0.0629370629370629,0.295218579234973,0.352140255009107
Brandan Wright,DAL,18.7,0.194178217821782,0.154574257425743,0.0267326732673267,0.0128712871287129,0.0662859473791556,0.0267379679144385,0.444786324786325,0.481823361823362
Brandan Wright,PHX,21.5,0.176226197345643,0.13467974610502,0.0323139065204847,0.00923254472013849,0.0523903077930583,0.027906976744186,0.399657534246575,0.427054794520548
Joakim Noah,CHI,30.6,0.306791063098453,0.123633685244292,0.152958507242819,0.030198870611343,0.0984346489964468,0.059016393442623,0.194710385894362,0.242270512721367
Spencer Hawes,LAC,17.5,0.272482380579483,0.174205168363352,0.0743931088488645,0.023884103367267,0.0876537533049776,0.04,0.336728979035798,0.382895633088625
Thaddeus Young,BKN,29.6,0.293081607795372,0.218172959805116,0.0493300852618758,0.02557856272838,0.0872745407696783,0.0471380471380471,0.488331515812432,0.545583424209378
Thaddeus Young,MIN,33.4,0.336345679012346,0.215358024691358,0.0978395061728395,0.0231481481481481,0.0688224930259874,0.056547619047619,0.377575757575758,0.418160173160173
Rodney Stuckey,IND,26.4,0.384173354735152,0.227137506688068,0.125468164794007,0.0315676832530765,0.0821704130804156,0.109848484848485,0.286770020603236,0.326625460195224
Nick Young,LAL,23.8,0.328967551622419,0.266037364798427,0.0412979351032448,0.0216322517207473,0.0657580105212817,0.0669456066945607,0.521611721611722,0.564025448235975
Marco Belinelli,SAS,22.4,0.274967462039046,0.185668835864064,0.0672451193058568,0.0220535068691251,0.0802040601661933,0.0580357142857143,0.273373788991802,0.30584477802619
Jason Smith,NYK,21.8,0.305360824742268,0.188808705612829,0.0867697594501718,0.0297823596792669,0.0975316978017856,0.0502283105022831,0.29669696696967,0.34349743497435
Jared Dudley,MIL,23.8,0.232256934306569,0.132110948905109,0.082043795620438,0.0181021897810219,0.0779403630512395,0.0294117647058823,0.268566001899335,0.305365622032289
Wilson Chandler,DEN,31.7,0.291021696252465,0.204631163708087,0.0646942800788955,0.0216962524654832,0.074552010193293,0.0504731861198738,0.380029304029304,0.420322344322344
Aaron Brooks,CHI,23,0.443907427341227,0.240462863293864,0.161194833153929,0.0422497308934338,0.0951768956570237,0.200873362445415,0.227496308366006,0.267467793675849
Arron Afflalo,DEN,33,0.291078129375525,0.20258751050126,0.0652478297395687,0.0232427891346962,0.0798506888324482,0.0483383685800604,0.411138895203455,0.45830870652421
Arron Afflalo,POR,30.1,0.24411214953271,0.165340453938585,0.0567423230974633,0.0220293724966622,0.0902428352658062,0.0431893687707641,0.353828571428571,0.400971428571429
Tiago Splitter,SAS,19.8,0.272718446601942,0.172718446601942,0.070873786407767,0.029126213592233,0.106799572801709,0.0404040404040404,0.324279985417426,0.378964637258476
Carl Landry,SAC,17,0.229904206580591,0.181174510620575,0.0262390670553936,0.0224906289046231,0.0978260869565217,0.0352941176470588,0.443877551020408,0.498979591836735
Glen Davis,LAC,12.2,0.234437086092715,0.163796909492274,0.0491169977924945,0.021523178807947,0.0918079096045198,0.032520325203252,0.378378378378378,0.428097909229985
Josh McRoberts,MIA,17.4,0.269624329159213,0.105044722719141,0.125223613595707,0.0393559928443649,0.145966029723992,0.0568181818181818,0.173573751108484,0.238604788649128
Marc Gasol,MEM,33.2,0.392252183820737,0.240334219521458,0.118496012153437,0.0334219521458412,0.0852052672347018,0.0602409638554217,0.34721536351166,0.395500685871056
Ramon Sessions,SAC,17.8,0.395661124307205,0.175550277117973,0.179730799683294,0.0403800475059382,0.102057152005123,0.209039548022599,0.158326192516424,0.194744358754642
Ramon Sessions,WAS,19.5,0.368450184501845,0.17380073800738,0.162361623616236,0.0322878228782288,0.0876314471707561,0.158974358974359,0.181363111282249,0.215055833654216
Joel Anthony,DET,8.3,0.1300878293601,0.0899372647427854,0.0250941028858218,0.0150564617314931,0.115740740740741,0.0240963855421687,0.430252100840336,0.502280912364946
CJ Watson,IND,24.9,0.357210270645385,0.170187369882026,0.152324774462179,0.0346981263011797,0.0971364183859813,0.184738955823293,0.164215883219499,0.197696531404848
Anthony Tolliver,DET,22.3,0.211882556131261,0.149706390328152,0.0449050086355786,0.0172711571675302,0.0815128790348875,0.03125,0.392217194570136,0.437466063348416
Anthony Tolliver,PHX,11.3,0.20865831842576,0.137101967799642,0.0518783542039356,0.0196779964221825,0.0943072702331962,0.0175438596491228,0.354814814814815,0.405740740740741
Michael Beasley,MIA,21,0.317267326732673,0.221227722772277,0.0594059405940594,0.0366336633663366,0.115466233928349,0.052132701421801,0.394491525423729,0.459816384180791
O.J. Mayo,MIL,23.9,0.362556867261733,0.21945292254535,0.10624820040311,0.0368557443132738,0.101655071635058,0.0504201680672269,0.37144110336761,0.433822311028803
Derrick Rose,CHI,30,0.515407932924863,0.295801354401806,0.167687842631409,0.0519187358916479,0.100733288284906,0.206666666666667,0.259911594695682,0.305530998526578
Russell Westbrook,OKC,34.4,0.655294117647059,0.364283347141674,0.230323115161558,0.0606876553438277,0.0926113232356437,0.224489795918367,0.326900986970502,0.381360941246445
Kevin Love,CLE,33.8,0.307571028411365,0.218735494197679,0.0644257703081232,0.0244097639055622,0.0793630142333012,0.0504451038575668,0.392898472596586,0.436743935309973
Danilo Gallinari,DEN,24.2,0.303518203470568,0.221857774753317,0.0622660768969037,0.0193943518203471,0.0638984798887942,0.0537190082644628,0.440299817678439,0.47878992504558
Eric Gordon,NOP,33.1,0.342291242362525,0.191578411405295,0.119653767820774,0.0310590631364562,0.0907387022878053,0.0694864048338368,0.334319605491137,0.388520147496557
D.J. Augustin,DET,23.8,0.481827491138243,0.210854667191808,0.227648680582907,0.0433241433635289,0.0899162961025373,0.246861924686193,0.179602791196994,0.216505636070853
D.J. Augustin,OKC,24.2,0.32031541218638,0.144688172043011,0.150537634408602,0.025089605734767,0.0783278130874586,0.145228215767635,0.17976487353046,0.210936943355896
